Name,Author,Path,Servings,Ingredients,Instructions
Liege Waffles,Lars Own Belgian Pearl Sugar,home/recipes/breakfast/pancakes-french-toast-waffles/Liege Waffles,1 serving,  3 1/2 cups flour 2 3/4 teaspoons active dry yeast  3/4 cup milk (lukewarm)  8 oz. (2 sticks) butter softened 2 eggs  1/2 teaspoon salt 1 teaspoon vanilla Cinnamon (optional) 1 bag Lars Own Belgian pearl sugar (8 oz.)   , A classic of Belgian cuisine Liege waffles (also known as Belgian sugar waffles) have a distinctive crunchiness thanks to the pearl sugar which caramelizes as it cooks. Serve plain or top with chocolate syrup Nutella fruit ice cream or whipped cream. Enjoy!  Dissolve the yeast in the milk then gradually add all ingredients except the sugar. Let rise until dough doubles in size (approximately 30 minutes) then add sugar. Divide into small patties (3 to 4 oz. each) then cook on a heated waffle maker until golden and crisp.  Caution: Be careful when removing waffles from the waffle maker. Melted or partially melted sugar is very hot.    
Quick & Easy Kale-Basil Pesto Farro Salad,Thyme & Temp,home/recipes/salads/greens-grains-legumes/Quick & Easy Kale-Basil Pesto Farro Salad,4 to 6 Servings,  Pesto: 2 cups packed kale stems removed 1 cup packed fresh basil 1 tsp kosher salt  3/4 cup extra virgin olive oil 1 tbsp lemon juice 3 cloves garlic  3/4 cup walnuts toasted  3/4 tsp black pepper  1/2 cup grated parmesan  Farro & Veggies: 3 cups of water Pinch of salt 1 cup farro 1 cup cucumber sliced & quartered  1/2 cup shallots diced 1 cup cherry tomatoes halved   , Preheat the oven to 350 degrees F. After preparing the pesto you will toast the farro a bit while the water comes to boil.  To Make the Pesto: Place the kale basil and salt in a food processor and pulse around 10 to 12 times or until everything is finely chopped. Add lemon juice.  With the processor running drizzle in all of the olive oil. When blended turn off machine so that you can remove the lid to scrap down the sides.  Drop in the walnuts and garlic and then pulse about 6 to 8 times. Pour in the grated parmesan and pulse until everything is thoroughly blended about 6 more times.  Scrape into a small bowl cover and refrigerate while you prepare the other items.  To Make the Farro: Rinse farro under cold water and pat dry to eliminate any excess water. Pour fresh water into a 3.5+ quart sauce pot and turn on the heat to medium-high.  Toss in a pinch of salt to season the water.  Toast the farro on a sheet pan for 10 minutes while to water comes to boil. Once finished add to boiling water and cook for approximately 10 minutes. Test it about 6-8 minutes in to check on its softness.  You want it al dente. Strain the farro once ready and allow to cool on a pan for about 5 minutes.  Remove pesto from the fridge and gently mix with the cooled farro in a medium mixing bowl. Once mixed completely add tomatoes shallots and cucumber and fold together.  Place in an airtight container or simply seal the bowl with plastic wrap and store in the fridge for about 1 hour before serving.   
Lemon Popcorn,Zippy Pop Inc.,home/recipes/appetizers/dips-spreads-sauces-seasonings/Lemon Popcorn,1 serving,   3 to 4 tablespoon lemon infused olive oil (instead of canola oil)   1/3 cup popcorn kernels  Zest one large lemon  1 teaspoon of sea salt (or more to your taste)    , Place the oil popcorn and salt in the Pop & Roast Stovetop Snack Maker. Place the pan over medium-high heat (gas) or high heat (electric). When the popcorn begins to pop begin turning the handle at a slow pace.   Take pot off the stove when the popcorn is finished popping.  Slowly add lemon zest through the portal.  Mix well by turning the hand crank for 1 to 2 minutes.  Pour into bowl and enjoy!   
Savory Shallot and Orange-Cranberry Sauce,Recipe developed for Sur La Table's Cooking Classes,home/recipes/appetizers/dips-spreads-sauces-seasonings/Savory Shallot and Orange-Cranberry Sauce,about 4 cups,  20 large shallots peeled and quartered lengthwise  3/4 cup extra-virgin olive oil 2 tablespoons balsamic vinegar Kosher salt and freshly ground black pepper  1 1/2 cups dry fruity red wine such as Merlot 1 cup freshly squeezed orange juice  1/3 cup firmly packed light brown sugar 1 (12-ounce) package fresh cranberries  3/4 cup raisins or currants 2 teaspoons fresh thyme leaves Zest of 1 orange   ,  Forget about the gelled sauce in the can-homemade cranberry sauce is easy to make incredibly delicious and fills your house with the enticing aromas of the season. You can make this cranberry sauce up to 2 days ahead covered and stored in the refrigerator.  Let sauce come to room temperature before serving.   Preheat oven to 400 degrees F and place a rack in the center. Place shallot quarters in a large mixing bowl. Add oil and vinegar tossing well to coat. Arrange shallots on a rimmed baking sheet and season generously with salt and pepper. Place in preheated oven and roast turning once or twice until browned and softened stirring every 5 minutes about 20 to 25 minutes total. Remove pan from oven and allow to cool. Chop shallots into  3/4-inch pieces.  Place wine orange juice and brown sugar in a large saucepan and heat over medium-high heat to a boil stirring to dissolve sugar. Reduce heat to medium add cranberries and raisins and cook stirring occasionally until cranberries pop and sauce starts to thicken about 8 to 10 minutes. Remove saucepan from heat and stir in chopped shallots thyme and orange zest. Let cranberry sauce cool to room temperature. Transfer to a bowl and serve.  
Kugel,Tested & perfected in the Sur La Table kitchen,home/recipes/main-courses/grains-legumes-pasta/Kugel, 8 servings,  1 cup golden raisins 1/2 cup orange juice 12 ounces extra-wide egg noodles 1/2 cup (1 stick) unsalted butter plus more for pan 1/2 cup granulated sugar 3 cups full-fat cottage cheese 2 cups full-fat sour cream 2 teaspoons vanilla extract 2 teaspoons ground cinnamon 2 teaspoons kosher salt plus more for boiling pasta Zest of 1 lemon 6 large eggs   , Preheat oven to 400°F. Generously butter a 13 x 9 baking dish.  1. In a small saucepan heat the orange juice to a simmer. Remove the saucepan from the heat and stir in the raisins to hydrate. Set aside.  2. Bring a large pot of water to a boil and generously salt. Cook the egg noodles 4 minutes until al dente. Drain the noodles and return to the pot.  3. Stir the butter into the noodles until melted. Fold in the sugar cottage cheese sour cream vanilla cinnamon salt and lemon zest. Mix well to combine.  4. Drain the raisins and discard the juice. Fold the raisins into the noodles.  5. To a small mixing bowl whisk the eggs. Pour the eggs over the noodle mixture. With a spatula fold the eggs into the noodle mixture making sure the eggs are distributed evenly.  6. Transfer the noodle mixture to the prepared baking dish using the spatula to spread the noodles evenly.  7. Bake the kugel rotating pan halfway through until custard has set and the crust is golden brown 35-40 minutes.  8. Let cool at least 20 minutes before slicing. 
Shrimp Rosemary -"Spiedini Alla Romagna",Mario Batali Italian Grill,home/recipes/appetizers/hot/Shrimp Rosemary -"Spiedini Alla Romagna",6 servings,  1 bunch Italian parsley leaves only (about 2 cups loosely packed) 1 bunch basil leaves only (about 2 cups packed) 2 cups fresh bread crumbs  1/2 teaspoon kosher salt Freshly ground black pepper to taste  3/4 cup plus 2 tablespoons extra-virgin olive oil 2 pounds large shrimp (21-30 per pound) peeled and deveined 12 large rosemary sprigs prepared as skewers and soaked in water for at least 2 hours or overnight 2 lemons cut into wedges   , It';s easy to make skewers from rosemary sprigs.  Choose large sturdy sprigs that are about 8 inches long.  Pull off most of the leaves from each sprig leaving a nice tuft of leaves at the top (use the remaining leaves in the dish you are making or reserve for another use).  Using a sharp knife cut off the bottom of the sprig on a diagonal to give you a sharp point.  The skewer will slide easily through the shrimp when you skewer them.  Toss the parsley and basil leaves into a food processor add the breadcrumbs salt pepper and  3/4 cup of the olive oil and zap until the herbs are chopped and the bread crumbs look green.  Transfer to a pie plate or wide shallow bowl add the shrimp and toss to coat well.  Skewer 4 or 5 shrimp on each rosemary sprig (the easiest way to do this is line up 4 or 5 shrimp at a time on a work surface and run a skewer through them; then separate them slightly so they will cook evenly).  Dredge on both sides in the bread crumb mixture place on a platter and put in the refrigerator for 30 minutes.  Preheat a gas grill or prepare a fire in a charcoal grill.  Put a piastra on the grill to preheat.  Spritz or brush the piastra with the remaining 2 tablespoons olive oil.  Place the skewers on the piastra and cook turning once just until the shrimp are opaque throughout and some of the crumbs are browned 2 to 3 minutes per side.  Transfer to a serving platter and serve with the lemon wedges.   
Grilled Fish with Mint Gremolata,Recipe developed for Sur La Table's Cooking Classes,home/recipes/main-courses/seafood/Grilled Fish with Mint Gremolata,4 servings,  Grilled fish:  4 (6-ounce) fresh white fish fillets cleaned and pin boned Vegetable oil for grilling Coarse sea salt and freshly ground pepper to taste  Citrus vinaigrette: Juice of  1/2 lemon Juice of 1 orange 2 tablespoons extra-virgin olive oil Sea salt and freshly ground pepper to taste  Mint gremolata:  1 tablespoon each chopped fresh chives mint and flat-leaf parsley 1 tablespoon orange zest 2 tablespoons toasted chopped almonds or pine nuts   , Striped Bass is a terrific choice for this preparation but the freshest fish possible rather than the variety will make all the difference so select a fish that is readily available in your area.   To prepare the fish:  Pat the fillets dry with paper towels. Brush the fillets with oil on both sides and season with salt and pepper; set aside.    To make the citrus vinaigrette:  In a small bowl mix together all ingredients.   To make the gremolata: In a small bowl mix together all ingredients. Press to adhere half of the gremolata onto the fillets.   Preheat a grill or grill pan to medium-high heat. Using a silicone brush coat grill with a thin coat of vegetable oil. Carefully grill the fish for 2 to 3 minutes on each side starting with the flesh side down. Gently remove the fillets from the grill and place on a serving platter.   Spoon the citrus vinaigrette over the grilled fish and sprinkle with the remaining gremolata. Serve immediately.    
Cajun Popcorn,Greenpan,home/recipes/appetizers/hot/Cajun Popcorn,24 cups,  1 cup popcorn kernels 9 tablespoons coconut peanut or canola oil (high smoke point oil)   3/4 cup melted butter 2 3/4 teaspoons coarse salt 1 3/4 teaspoons paprika  1/2 teaspoon garlic powder  3/4 teaspoon onion powder  3/4 teaspoon ground pepper  3/4 teaspoon dried oregano  3/4 teaspoon ground thyme  1/2 to  3/4 teaspoon cayenne pepper   , In a small bowl stir together salt paprika garlic powder onion powder pepper oregano thyme and cayenne pepper.   Put a large casserole on the burner. Press ';Start'; and then ';High Fry'; heat the oil. If you are using coconut oil allow all of the solid oil to melt. Put 3 or 4 popcorn kernels into the oil and cover the pan. When the kernels pop add the rest of the popcorn kernels in an even layer. Press ';Low Fry'; cover and count 30 seconds. The popcorn should begin popping soon all at once. Keep the lid slightly ajar to let the steam from the popcorn release.   Once the popping slows to several seconds between pops press ';Warm'; and remove the lid. Pour the popcorn in a large bowl drizzle butter over popcorn and toss. Add spice mixture and toss to coat.   
Teriyaki Vegetable Skewers,Tom Douglas,home/recipes/side-dishes/vegetables/Teriyaki Vegetable Skewers,1 serving,  Vegetables a variety of your favorite Tom Douglas Spicy Red Chili Teriyaki sauce   , A simple and delicious side-just skewer your favorite vegetables and brush with our Tom Douglas Spicy Red Chili Teriyaki Sauce while they are grilling for amazing flavor.  Soak wooden skewers in water for at least one hour so they don’t burn.   Cut the vegetables and fruit into same size chunks for even cooking. Thread your vegetables through two skewers for ease of cooking turning and heating.   Brush the vegetables with a touch of olive oil and season with salt and pepper to  begin the grilling. About 2 minutes before removing from grill brush with Tom Douglas Spicy Red Chili Teriyaki Sauce.   
Lucky Lo Mein Noodles,Recipe developed for Sur La Table's Cooking Classes,home/recipes/main-courses/grains-legumes-pasta/Lucky Lo Mein Noodles,4 servings,  1 tablespoon sea salt  1/2 pound fresh Chinese-style egg noodles 2 tablespoons vegetable oil plus 1 teaspoon divided 1 large yellow onion thinly sliced 2 cups snow peas cut into bite-sized pieces 1 red bell pepper cored seeded and cut into 2-inch strips 1 tablespoon minced garlic 1 tablespoon minced fresh ginger 1 bunch green onions thinly sliced  3/4 cup soy sauce 1 tablespoon hoisin sauce 1 tablespoon rice wine vinegar   , Fresh Chinese egg noodles are found in the Asian section of most well-stocked markets. The noodles are yellow in color and made from wheat flour and eggs.   Place a large pot of water on high heat and bring to a boil. Add the salt and stir to dissolve. Add the egg noodles stir well and cook according to package instructions until al dente about 3 minutes. Drain noodles in a colander transfer to a medium mixing bowl and toss with 1 teaspoon oil. Set aside.   Heat a wok over high heat until smoking. Add the oil and swirl to coat. Add onion and cook stirring and tossing occasionally until slightly browned 3 to 4 minutes. Add the snow peas and red bell pepper and stir-fry until just tender. Add the garlic ginger and green onions and cook for 1 minute stirring constantly.   Return the noodles back to the wok and add the soy sauce hoisin and vinegar and stir-fry until the noodles are well coated.   Transfer to a serving dish and serve family style.    
Matzo Ball Soup,Tested and perfected in the Sur La Table kitchen,home/recipes/soups-stews/meat-poultry/Matzo Ball Soup,1 serving,  Chicken stock: 1 4–5-lb. chicken cut into 8 pieces 1 pound chicken wings necks and/or backs 2 large yellow onions unpeeled quartered 6 celery stalks cut into 1" pieces 4 large carrots peeled cut into 1" pieces 1 large parsnip peeled cut into 1" pieces 1 large shallot quartered 1 head of garlic halved crosswise 6 sprigs flat-leaf parsley 1 tablespoon black peppercorns  Matzo ball mixture: 3 large eggs beaten to blend  3/4-cup matzo meal  3/4-cup schmaltz (chicken fat) melted 3 tablespoons club soda 1 3/4 teaspoon kosher salt  For the assembly: 2 small carrots peeled sliced  3/4" thick on a diagonal Kosher salt 2 tablespoons coarsely chopped fresh dill Coarsely ground fresh black pepper   , To make the chicken stock: Bring all ingredients and 12 cups cold water to a boil in a very large (at least 12 qt.) stockpot. Reduce heat to medium-low and simmer until chicken breasts are cooked through about 20 minutes.  Transfer breasts to a plate (remaining chicken parts are strictly for stock). Let breasts cool slightly then remove meat and return bones to stock. Shred meat. Let cool tightly wrap and chill.  Continue to simmer stock skimming surface occasionally until reduced by one-third about 2 hours. Strain chicken stock through a fine-mesh sieve into a large saucepan (or airtight container if not using right away); discard solids. You should have about 8 cups.  Make ahead: Stock can be made 2 days ahead. Let cool; cover and chill. Keep reserved chicken meat chilled.  To make the Matzo Ball mixture: Mix eggs matzo meal schmaltz club soda and salt in a medium bowl (mixture will resemble wet sand; it will firm up as it rests). Cover and chill at least 2 hours.  Make ahead: Mixture can be made 1 day ahead. Keep chilled.  Assembly: Bring chicken stock to a boil in a large saucepan. Add carrots; season with salt. Reduce heat and simmer until carrots are tender 5–7 minutes. Remove from heat add reserved breast meat and cover. Set soup aside.  Meanwhile bring a large pot of well-salted water to a boil. Scoop out 2-tablespoonful portions matzo ball mixture and using wet hands gently roll into balls.  Add matzo balls to water and reduce heat so water is at a gentle simmer (too much bouncing around will break them up). Cover pot and cook matzo balls until cooked through and starting to sink 20–25 minutes.  Make ahead: Using a slotted spoon transfer matzo balls to bowls. Ladle soup over top with dill and season with pepper.  
